x,y
189615.15310003914,553717.8557520077
189616.35814744455,553716.9626217668
189617.56319485285,553716.0694915034
189617.56319485285,553716.0694915034
189619.9576304571,553714.2829889857
189622.50442123885,553716.3811815368
189622.35977679363,553712.4873228846
189624.90687161736,553714.6034831322
189624.90687161736,553714.6034831322
189627.3094101094,553712.8259467949
189627.3094101094,553712.8259467949
189629.71254915488,553711.0486940958
189629.71254915488,553711.0486940958
189632.11463824555,553709.2723765587
189634.51772603136,553707.4953821006
189634.51772603136,553707.4953821006
189636.92128384922,553705.7176346094
189636.92128384922,553705.7176346094
189639.2449328475,553703.9989930046
189640.45288597,553703.1066436133
189641.6608390913,553702.2142942143
189642.8682467027,553701.3227496077
189644.07565431483,553700.4312049913
189645.28289073193,553699.5399065962
189647.69736746885,553697.757306057
189648.9046077864,553696.8660039073
189648.9046077864,553696.8660039073
189651.31558970883,553695.0841338497
189651.9286734952,553694.6310246829
189654.3397904335,553692.847473107
189655.54560675554,553691.9553231978
189656.7514230938,553691.0631732829
189659.16315825598,553689.2787191898
189660.36904748576,553688.3864611172
189661.5749366981,553687.4942030396
189662.78192451491,553686.6025329666
189665.1952793686,553684.8194561781
189666.40164641204,553683.9280494483
189668.51143544356,553682.3683754764
189669.71783828142,553681.4764973776
189670.92430229697,553680.5845232895
189672.13076631987,553679.6925491821
189674.5437535819,553677.9085077888
189674.5437535819,553677.9085077888
189677.28501054048,553675.8806517429
189679.69185549882,553674.1038729943
189679.69185549882,553674.1038729943
189682.09872952013,553672.3286408765
189684.50325251964,553670.5556047431
189684.50325251964,553670.5556047431
189686.9095996239,553668.7812230546
189689.31412264513,553667.0081868491
189689.31412264513,553667.0081868491
189691.7177837398,553665.234265754
189694.12354406362,553663.455768013
189694.12354406362,553663.455768013
189696.35209223683,553661.8080149543
189698.7534475922,553660.0309853354
189699.95912396655,553659.138771769
189701.1648003481,553658.246558197
189703.5721486517,553656.4652947277
189705.7249386464,553654.8726132587
189705.7249386464,553654.8726132587
189708.1257691575,553653.0949496262
189709.3319142902,553652.201875427
189710.538059426,553651.3088012185
189712.93889186185,553649.5311375543
189714.14486189096,553648.6381354122
189715.35083191862,553647.7451332675
189717.75146274254,553645.9672639903
189718.95751625858,553645.0740590103
189720.16356977774,553644.1808540146
189722.5704149568,553642.3983415449
189723.88632502285,553641.4237762603
189726.285532421,553639.644137826
189727.49166902062,553638.7479731187
189728.69780562876,553637.8518084035
189731.09508091278,553636.0695650283
189732.30217981958,553635.1720139796
189733.50927872426,553634.2744629219
189734.73211939723,553633.3651286638
189735.7299443096,553628.5300164656
189738.35479726625,553630.6711276011
189739.56252036968,553629.7744519961
189739.51245692137,553625.7188814814
189743.1710291736,553627.096939034
189744.37744091052,553626.2011129138
189744.32296423608,553622.1415646
189748.016522034,553623.4974999186
189748.05499820597,553619.3647578465
189750.41388819597,553621.7151132019
189750.47054853794,553617.5702793936
189752.87321785596,553615.7889516817
189755.21928432732,553618.1424178607
189756.4247618378,553617.2464820924
189756.52374451252,553613.0853132467
189757.75672223244,553612.1734440504
189761.23443393238,553613.6766855041
189762.4393795774,553612.7827946777
189762.57466428436,553608.6069136672
189764.84258830757,553610.9999675502
189766.27051878656,553609.9406522516
189766.1845167381,553605.9341155031
189768.6688210341,553608.1592770979
189768.63297030772,553604.1284079363
189769.87228685652,553603.2179631344
189773.46315167693,553604.5915186875
189772.28272545376,553601.4535639023
189775.86321370403,553602.80490088
189775.86265581052,553598.7903124487
189778.25964748822,553601.0209792986
189778.25964748822,553601.0209792986
189780.65968659316,553599.2343647494
189780.26707917935,553595.4761575276
189783.04805794297,553597.4503285899
189783.4624852365,553597.1406068827
189784.70501128034,553596.2095336647
189785.94753732625,553595.278460439
189786.2525010387,553591.035098301
189788.33291623445,553593.4897996947
189788.71156051784,553593.2059171629
189791.10929321367,553591.4214197954
189791.10929321367,553591.4214197954
189791.10929321367,553591.4214197954
189793.5130231742,553589.6325857982
189793.5130231742,553589.6325857982
189795.9148655639,553587.8536367023
189795.9148655639,553587.8536367023
189795.9148655639,553587.8536367023
189798.31736888905,553586.0747501717
189798.31736888905,553586.0747501717
189798.31736888905,553586.0747501717
189800.71948629883,553584.2961778062
189800.71948629883,553584.2961778062
189800.71948629883,553584.2961778062
189803.11304635645,553582.5168315708
189803.11304635645,553582.5168315708
189803.11304635645,553582.5168315708
189804.81213821215,553581.2522398088
189804.81213821215,553581.2522398088
189804.81213821215,553581.2522398088
189804.81213844812,553581.2522398145
189807.1492533256,553579.5334421555
189807.1492533256,553579.5334421555
189807.1492533256,553579.5334421555
189807.1492533256,553579.5334421555
189809.48636845534,553577.8146444653
189809.48636845534,553577.8146444653
189809.48636845534,553577.8146444653
189811.82348359242,553576.0958467469
189811.82348359242,553576.0958467469
189811.82348359242,553576.0958467469
189811.82348359242,553576.0958467469
189814.1605987368,553574.3770489838
189814.1605987368,553574.3770489838
189814.1605987368,553574.3770489838
189814.1605987368,553574.3770489838
189816.49771389528,553572.6582511953
189816.49771389528,553572.6582511953
189816.49771389528,553572.6582511953
189818.83482906333,553570.9394533635
189818.83482906333,553570.9394533635
189818.83482906333,553570.9394533635
189821.17194424092,553569.2206555055
189821.17194424092,553569.2206555055
189821.17194424092,553569.2206555055
189823.50905942812,553567.5018576066
189823.50905942812,553567.5018576066
189825.8461746271,553565.7830596729
189825.8461746271,553565.7830596729
189825.8461746271,553565.7830596729
189828.1832898334,553564.0642617017
189828.73980512816,553562.2542323972
189830.520405056,553562.3454636936
189830.520405056,553562.3454636936
189832.85752028148,553560.6266656608
189835.19463552546,553558.9078675819
