,x,y
224,190609.94585576,553004.694886259
225,190607.55431557,553006.489801637
226,190606.455733766,553007.322367191
227,190604.017266109,553009.132554353
228,190604.017266109,553009.132554353
229,190601.646534615,553010.91073359
230,190599.276193831,553012.703439326
231,190599.276193831,553012.703439326
232,190596.880261698,553014.488276033
233,190596.045500804,553015.118519358
234,190593.700362822,553016.871954476
235,190592.4741011,553017.798486742
236,190591.247839379,553018.725018991
237,190588.846939151,553020.458085319
238,190588.846939151,553020.458085319
239,190586.477751769,553022.264997891
240,190585.244411328,553023.173917706
241,190583.62898361,553024.374165637
242,190581.299234729,553026.131048292
243,190581.299234729,553026.131048292
244,190578.927409217,553027.919916075
245,190578.927409217,553027.919916075
246,190576.551105413,553029.695883698
247,190575.337729514,553030.597017295
248,190573.450039228,553031.999029895
249,190571.08078668,553033.744089224
250,190571.08078668,553033.744089224
251,190568.68793439,553035.519875967
252,190567.460644662,553036.42535516
253,190566.233354936,553037.330834326
254,190564.715097193,553038.471978575
255,190563.521262242,553039.380413471
256,190562.327427294,553040.288848354
257,190561.123897324,553041.200872247
258,190559.920367356,553042.112896143
259,190558.706899831,553043.066052178
260,190556.3514483,553044.848767949
261,190555.04681997,553045.853929324
262,190553.742191649,553046.859090675
263,190553.742191649,553046.859090675
264,190551.681688254,553048.44662229
265,190549.796005355,553049.899459101
266,190549.796005355,553049.899459101
267,190547.837221509,553051.408619211
268,190544.378578684,553049.970636134
269,190542.797319531,553051.149084021
270,190541.784283104,553051.911141316
271,190540.565482116,553052.821897887
272,190539.346681129,553053.73265445
273,190538.034316778,553054.710811215
274,190536.72195243,553055.688967969
275,190536.852598271,553059.783113999
276,190534.374588455,553057.465918549
277,190534.475786385,553061.59217243
278,190532.058769563,553059.164435994
279,190530.617351189,553060.260460217
280,190529.175932818,553061.356484432
281,190528.051046344,553062.179571535
282,190528.051045867,553062.179571791
283,190525.7043999,553063.876047149
284,190525.7043999,553063.876047149
285,190523.357753943,553065.572522479
286,190523.357753943,553065.572522479
287,190521.011108,553067.268997774
288,190521.011108,553067.268997774
289,190518.664462062,553068.965473038
290,190518.664462062,553068.965473038
