,x,y
230,190387.219813112,553169.231322276
231,190384.824524329,553171.006187279
232,190381.490199913,553173.479376386
233,190379.206499726,553175.173949774
234,190377.953936201,553176.103389098
235,190376.701372672,553177.032828426
236,190373.616828021,553179.321649775
237,190371.274801628,553181.067746375
238,190368.932775248,553182.813842946
239,190366.590748873,553184.559939492
240,190366.590748873,553184.559939492
241,190364.248722514,553186.306035987
242,190361.906696164,553188.052132448
243,190359.56466982,553189.79822888
244,190357.22264349,553191.544325275
245,190357.22264349,553191.544325275
246,190354.880617163,553193.290421635
247,190352.53859085,553195.036517958
248,190350.196564547,553196.782614235
249,190347.56074928,553196.955703355
250,190346.900063208,553197.560520614
251,190344.492171148,553199.374612223
252,190343.170485701,553202.020902876
253,190340.828459434,553203.766999021
254,190338.48643318,553205.513095127
255,190336.667268387,553206.400689914
256,190334.209292448,553206.741782699
257,190331.460354478,553210.751383236
258,190331.460354478,553210.751383236
259,190329.118328264,553212.49747919
260,190326.77630206,553214.243575121
261,190324.434275865,553215.989671014
262,190319.750223504,553219.48186269
263,190317.40819734,553221.227958473
264,190315.066171183,553222.974054216
265,190312.47648595,553224.91601945
266,190310.065373398,553226.725183855
267,190305.887451729,553225.910433265
268,190303.381442444,553231.692567942
269,190299.741879679,553232.026026516
270,190297.968546504,553235.712172042
271,190295.096798451,553237.84472834
272,190291.406420243,553240.585188893
273,190286.92634892,553243.91134677
274,190283.310846537,553246.594010034
275,190279.695351839,553249.276671459
276,190276.079853235,553251.959338431
277,190271.217644076,553255.565676926
278,190267.601471756,553258.247466199
279,190262.781663522,553261.823756902
280,190257.961712874,553265.401677265
281,190254.346748219,553268.085118824
282,190248.321809513,553272.55751962
283,190244.135972133,553275.66496593
284,190238.110353106,553280.125846247
285,190233.281912399,553283.699354112
286,190226.112623662,553285.087240662
287,190221.930874562,553292.085916711
288,190214.112709375,553293.975947953
289,190209.900132503,553301.023104772
290,190202.618406007,553306.418628794
291,190194.902072943,553308.215081841
292,190190.616162778,553315.298151612
293,190183.101379062,553320.855781678
294,190175.910407756,553326.173972442
295,190168.718257242,553331.492465015
296,190159.207461895,553334.635997764
297,190151.935122962,553343.895917392
298,190144.589730167,553349.31714305
299,190136.295970827,553355.447755831
